Rez.Descriere, Rez.Pret euro ,Rez.Stare,Rez.Suprafata
"Apartament 2 camere | zona Plopilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Plopilor",159000.00 ,Dec.,47 mp
"Apartament 2 camere | zona podului Aurel Vlaicu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",115000.00 ,Semidec.,50 mp
"Apartament 2 camere | zona River Park | Grigorescu |
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",105000.00 ,Semidec.,46.5 mp
"Apartament 2 camere | zona Semicentral
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",155000.00 ,Semidec.,45 mp
"Apartament 2 camere | zona strazii Oasului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Iris",125000.00 ,Semidec.,45 mp
"Apartament 2 camere | zona The Office
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",165000.00 ,Semidec.,54 mp
"Apartament 2 camere | zona Ultracentral
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Ultracentral",200000.00 ,Semidec.,47 mp
"Apartament 2 camere | zona ultracentrala
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Ultracentral",225000.00 ,Semidec.,63.16 mp
"Apartament 2 camere | Zona verde | Gheorgheni | 3 min de Iulius Mall!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",100000.00 ,Semidec.,46 mp
"Apartament 2 camere | zona Zorilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",170000.00 ,Semidec.,58 mp
"Apartament 2 camere | Zorilor | Louis Pasteur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",162000.00 ,Dec.,51 mp
"Apartament 2 camere | Zorilor | Observatorului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",137200.00 ,Dec.,49 mp
"Apartament 2 camere |decomandat | 55mpu |zona Interservisan Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",159000.00 ,Dec.,55 mp
"Apartament 2 camere |etaj intermediar | 53mpu | C. Brancusi Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",118000.00 ,Semidec.,53 mp
"Apartament 2 camere |Etaj intermediar|41 mpu| Zona Primaverii Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",95000.00 ,Semidec.,41 mp
"Apartament 2 camere ~ 57 mpu ~ Platinia Elite Residence ~ Piata Mihai Viteazu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona P-ţa Mihai Viteazul",230000.00 ,Dec.,57 mp
"Apartament 2 camere ~ Lux ~ 64 mpu ~ Wings
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",230000.00 ,Dec.,64 mp
"Apartament 2 camere + 1 camera la demisol, Titulescu Gheorgheni, decomandat
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",138000.00 ,Dec.,52 mp
"Apartament 2 camere + 2 balcoane | 51 mp | Mărăşti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",119500.00 ,Dec.,51 mp
"Apartament 2 camere + balcon, EGO Residence
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",117000.00 ,Semidec.,44 mp
"Apartament 2 camere + birou, ultrafinisat, parcare, zona FSEGA
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",215000.00 ,Semidec.,55 mp
"Apartament 2 camere + gradina + parcare Campului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",153000.00 ,Semidec.,50 mp
"Apartament 2 camere + parcare | 48 mp | zona Centrală
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",145000.00 ,Semidec.,48 mp
"Apartament 2 camere + parcare subterană | 53 mp | Zorilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",166000.00 ,Semidec.,53 mp
"Apartament 2 camere + parcare, in zona Europa, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Europa",129000.00 ,Semidec.,44 mp
"Apartament 2 camere +balcon de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",150000.00 ,Semidec.,42 mp
"Apartament 2 camere 1 minut de Cluj Arena
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Plopilor",120000.00 ,Semidec.,48 mp
"Apartament 2 camere 2 balcoane 2/4 zona strazii Uliului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",145000.00 ,Dec.,50 mp
"Apartament 2 camere 40 mp, bloc nou, Marasti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",112000.00 ,Semidec.,40 mp
"Apartament 2 camere 40 mp, parcare, etaj intermediar, Marasti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",115000.00 ,Semidec.,40 mp
"Apartament 2 camere 44 mp, gradina 40 mp
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",130000.00 ,Semidec.,44 mp
"Apartament 2 camere 46 mp utili, parcare subterana, terasa, zona Corneliu Coposu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",105000.00 ,,
"Apartament 2 camere 47 mp, etaj intermediar - Strada Craiova
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",105000.00 ,Semidec.,47 mp
"Apartament 2 camere 48 mp utili, parcare inclusa, terasa, zona Corneliu Coposu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",110000.00 ,,
"Apartament 2 camere 50 mp decomandat cartier Grigorescu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",109000.00 ,Dec.,50 mp
"Apartament 2 camere 52 mp I Marasti I Balcon
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Semicentral",179000.00 ,Semidec.,52 mp
"Apartament 2 camere 52 mp,  cladire istorica, parcare, Fac. Litere
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",138999.00 ,Semidec.,52 mp
"Apartament 2 camere 52 mp, view superb, Grigorescu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",156000.00 ,Dec.,52 mp
"Apartament 2 camere 52 mp, zona Casei de Cultura
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",170000.00 ,Semidec.,52 mp
"Apartament 2 camere 52,5 mp+11 mp terasa, Grand Park Residence, Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",183000.00 ,Semidec.,52.5 mp
"Apartament 2 camere 52mp zona Semicentrala
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Semicentral",139500.00 ,Semidec.,52.13 mp
"Apartament 2 camere 52mp, balcon 6mp,parcare, Andrei Muresanu SUD
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Andrei Mureşanu",164000.00 ,Semidec.,52 mp
"Apartament 2 camere 54 mp | parcare subterana | boxa 11 mp | bloc nou | Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",135000.00 ,Dec.,54 mp
"Apartament 2 camere 54mp semifinisat bloc nou, zona Intre Lacuri
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Între Lacuri",105000.00 ,Semidec.,53.9 mp
"Apartament 2 camere 55 mp, capat Brancusi
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",127500.00 ,Semidec.,55 mp
"Apartament 2 camere 55 mp, etaj 1, terasa de 13 mp Iulius Mall
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",129000.00 ,Semidec.,55 mp
"Apartament 2 camere 55 mp, mobilat, cu balcon
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Plopilor",145000.00 ,Semidec.,55 mp
"Apartament 2 camere 56mp bloc nou FINISAT Zorilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",167000.00 ,Semidec.,56 mp
"Apartament 2 camere 56mp,2 balcoane,langa Iulius Mall
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Sopor",145000.00 ,Dec.,56 mp
"Apartament 2 camere 57 mp, decomandat, parcare, IRIS
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Iris",114000.00 ,Dec.,57 mp
"Apartament 2 camere 57,43mp, balcon 13,97mp, Iris, zona Terapia
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Iris",129000.00 ,Semidec.,57.43 mp
"Apartament 2 camere 57mp | Decomandat | Andrei Muresanu | Piata Engels
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Andrei Mureşanu",136000.00 ,Dec.,57 mp
"Apartament 2 camere 58 mp, decomandat, Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Manastur",132500.00 ,Dec.,58 mp
"Apartament 2 camere 58 mp, parcare, terasa 24 mp, etajul 3,zona Calea Turzii
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Bună Ziua",130000.00 ,Semidec.,58 mp
"Apartament 2 camere 58,86mp,terasa 20,85mp, Azoria Frunzisului, CF iesit
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",157900.00 ,Semidec.,58.86 mp
"Apartament 2 camere 58mp, zona Baritiu, Centru
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",205000.00 ,Semidec.,58 mp
"Apartament 2 camere 63 mp utili in zona starzii Tasnad Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",120000.00 ,Dec.,63 mp
"Apartament 2 camere 64 mp, parcare, Ansamblul Rezidential Wings
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",240000.00 ,Dec.,64 mp
"Apartament 2 camere 67 mp Sigma Republicii etaj intermediar parcare cf
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",175000.00 ,Semidec.,67 mp
"Apartament 2 camere 75mp zona Centrala
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Semicentral",180000.00 ,Dec.,75 mp
"Apartament 2 camere Aleea Garbau
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",82000.00 ,Semidec.,36 mp
"Apartament 2 camere Andrei Muresanu,mobilat,utilat, comision 0
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Andrei Mureşanu",136000.00 ,Dec.,57 mp
"Apartament 2 camere balcon finisat mobilat zona Iulius Mall
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",159900.00 ,Dec.,55 mp
"Apartament 2 camere Bloc din 2012, Garaj Subteran Zorilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",143000.00 ,Semidec.,47 mp
"Apartament 2 camere bloc nou | 54 mp | garaj | CF | zona Frunzisului!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",140000.00 ,Semidec.,54 mp
"Apartament 2 camere BLOC NOU Borhanci parcare inclusa
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci",131000.00 ,Semidec.,56 mp
"Apartament 2 camere BLOC NOU Centru
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",134500.00 ,Semidec.,52 mp
"Apartament 2 camere bloc nou cu parcare subterana
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",149000.00 ,Dec.,63 mp
"Apartament 2 camere BLOC NOU cu terasa Sopor TVA INCLUS
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Sopor",141000.00 ,Semidec.,55 mp
"Apartament 2 camere bloc nou finalizat  52mp,+2 balcoane de 7 mp si 3,57mp, zona
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gară",105000.00 ,Semidec.,52 mp
"Apartament 2 camere bloc nou finalizat  la 10 minute de gara zona Lidl cu parcar
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dambul Rotund",78000.00 ,Semidec.,45 mp
"Apartament 2 camere bloc nou finisat mobilat zona Fabricii
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Iris",135000.00 ,Semidec.,45 mp
"Apartament 2 Camere bloc nou in Grigorescu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",100000.00 ,Semidec.,51 mp
"Apartament 2 camere bloc nou langa Iulius Mall
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Între Lacuri",170000.00 ,Semidec.,50 mp
"Apartament 2 camere BLOC NOU mobilat Sopor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Sopor",165000.00 ,Semidec.,53 mp
"Apartament 2 camere BLOC NOU terasa 16mp Borhanci
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci",159900.00 ,Semidec.,57 mp
"Apartament 2 camere bloc nou zona Lidl
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",95000.00 ,Semidec.,48 mp
"Apartament 2 camere Bloc nou zona Oasului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Iris",87549.00 ,Semidec.,41.69 mp
"Apartament 2 camere Bloc nou zona Oasului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Iris",92862.00 ,Semidec.,44.22 mp
"Apartament 2 camere bloc nou zona Petrom
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",79000.00 ,Semidec.,51 mp
"Apartament 2 camere bloc nou Zorilor |Finisat | Parcare subterana
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",125000.00 ,Semidec.,45 mp
"Apartament 2 camere Borhanci cu gradina si parcare
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci",148000.00 ,Dec.,53 mp
"Apartament 2 camere Borhanci
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci",127500.00 ,Semidec.,52 mp
"Apartament 2 camere Borhanci
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci",129300.00 ,Semidec.,54 mp
"Apartament 2 camere Borhanci
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci",160000.00 ,Semidec.,63 mp
"Apartament 2 camere Buna Ziua
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Bună Ziua",150000.00 ,Semidec.,53 mp
"Apartament 2 camere Buna Ziua, zona Calea Turzii, OMV
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Bună Ziua",134500.00 ,Dec.,50 mp
"Apartament 2 camere BunaZiua etaj intermediar
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Calea Turzii",135000.00 ,Semidec.,41 mp
"Apartament 2 camere C. Brancoveanu et 3 finisat partial mobilat utilat
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",79900.00 ,Semidec.,31 mp
"Apartament 2 camere Calea Turzii cu parcare
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Calea Turzii",125000.00 ,Dec.,56 mp
"Apartament 2 camere cartier  Andrei Muresan Cluj
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Andrei Mureşanu",137800.00 ,Semidec.,53 mp
"Apartament 2 camere cartier Europa zona Eugen Ionesco
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Europa",139900.00 ,Dec.,72.19 mp
"Apartament 2 camere cartier Manastur zona Primaverii
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",98750.00 ,Dec.,45 mp
"Apartament 2 camere cartierul Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",145000.00 ,Semidec.,50 mp
"Apartament 2 camere Central, 50 mp, balcon 8 mp, zona strazii Horea
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",115000.00 ,Semidec.,50 mp
"Apartament 2 camere Centru cu  parcare
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",230000.00 ,Dec.,56 mp
"Apartament 2 camere Centru
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",139900.00 ,Semidec.,59 mp
"Apartament 2 camere confort sporit cu garaj in Buna Ziua
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Bună Ziua",149500.00 ,Dec.,60 mp
"Apartament 2 camere confort sporit, Gheorgheni, zona Bulevardul Titulescu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",145000.00 ,Dec.,60 mp
"Apartament 2 camere confort sporit, zona Soporului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",190000.00 ,Dec.,75 mp
"Apartament 2 camere constructie tip vila etaj 1, zona Campului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",98000.00 ,Semidec.,54 mp
"Apartament 2 camere cu 85 mp terasa si parcare,  in Dambul Rotund
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",124900.00 ,Semidec.,57 mp
"Apartament 2 camere cu balcon 46mp etaj intermediar zona Big
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",125000.00 ,Semidec.,46 mp
"Apartament 2 camere cu balcon, Zorilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",122900.00 ,Dec.,52 mp
"Apartament 2 camere cu CF | boxa | finisat | Iris | zona Oasului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Iris",69500.00 ,Semidec.,47 mp
"Apartament 2 camere cu CF in cartierul Europa!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Europa",150650.00 ,Semidec.,64.5 mp
"Apartament 2 camere cu cf in constructie noua, 2 balcoane
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",109000.00 ,Semidec.,54.5 mp
"Apartament 2 camere cu CF| terasa 21 mp | parcare subterana | zona...
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",88000.00 ,Semidec.,41.9 mp
"Apartament 2 camere cu finisaje premium, imobil nou, terasa, zona...
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",115000.00 ,Semidec.,42 mp
"Apartament 2 camere cu garaj Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",97000.00 ,Semidec.,44 mp
"Apartament 2 camere cu garaj subteran, Sopor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",200000.00 ,Semidec.,55 mp
"Apartament 2 camere cu gradina | strada Horea | CENTRAL
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",135000.00 ,Dec.,58 mp
"Apartament 2 camere cu gradina | Zona Marasti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",158000.00 ,Semidec.,75 mp
"Apartament 2 camere cu gradina, loc de parcare si boxa, cartier Marasti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",158000.00 ,Dec.,75 mp
"Apartament 2 camere cu panorama  spre Campului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",155000.00 ,Semidec.,57 mp
"Apartament 2 camere cu parcare | 45.5 mp | zona Centrală
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",139000.00 ,Semidec.,45 mp
"Apartament 2 camere cu parcare Frunzisului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",155000.00 ,Semidec.,57.1 mp
"Apartament 2 camere cu parcare in Buna Ziua zona Calea Turzii
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Bună Ziua",130000.00 ,Dec.,52 mp
"Apartament 2 camere cu parcare in Buna Ziua zona Calea Turzii
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Bună Ziua",132500.00 ,Dec.,53 mp
"Apartament 2 camere cu parcare in Cartierul Iris
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Iris",97000.00 ,Dec.,45 mp
"Apartament 2 camere cu parcare subterana si terasa 50 mp Bună Ziua
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Bună Ziua",143000.00 ,Dec.,63 mp
"Apartament 2 camere cu parcare
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",187000.00 ,Semidec.,40 mp
"Apartament 2 camere cu parcare
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",139000.00 ,Semidec.,46 mp
"Apartament 2 camere cu parcare, imobil nou in Grigorescu, Hotel Premier
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",128000.00 ,Dec.,56 mp
"Apartament 2 camere cu priveliste panoramica, West City Tower, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",130000.00 ,Dec.,46.5 mp
"Apartament 2 camere cu terasa 85 mp si parcare
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",128000.00 ,Semidec.,57 mp
"Apartament 2 camere cu terasa de 63 mp + 79 mp terasa
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Sopor",200000.00 ,Dec.,63 mp
"Apartament 2 camere cu terasa generoasa de 82 mp in bloc nou, COMISION 0%
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Sopor",160800.00 ,Semidec.,55.62 mp
"Apartament 2 camere cu terasa Zorilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",142000.00 ,Semidec.,60 mp
"Apartament 2 camere cu terase generoase si CF
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci",129241.00 ,Semidec.,53.74 mp
"Apartament 2 camere cu vedere la Somes, Grigorescu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",124000.00 ,Dec.,46 mp
"Apartament 2 camere Dambul Rotund
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dambul Rotund",87500.00 ,Semidec.,44 mp
"Apartament 2 camere Dambul Rotund
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dambul Rotund",98500.00 ,Semidec.,42 mp
"Apartament 2 camere Dambul Rotund
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",118000.00 ,Semidec.,46 mp
"Apartament 2 camere Dambul Rotund, 47m2
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",83000.00 ,Semidec.,46.61 mp
"Apartament 2 camere Dambul Rotund, finisat, etaj 1, zona Taietura Turcului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",81000.00 ,Semidec.,38 mp
"Apartament 2 camere de lux, imobil 2018, terasa 12mp, priveliste, parcare
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Iris",115000.00 ,Dec.,46 mp
"Apartament 2 camere de lux, imobil nou (2019), parcare, Someseni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Someşeni",127000.00 ,Semidec.,50 mp
"Apartament 2 camere de lux, parcare, etaj 1 , zona Vivo
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",110000.00 ,Semidec.,58 mp
"Apartament 2 camere de vanzare + 107mp terasa in Zorilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",295000.00 ,Semidec.,74 mp
"Apartament 2 camere de vanzare complex Luminia, Europa
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Europa",165000.00 ,Semidec.,56 mp
"Apartament 2 camere de vanzare in Andrei Muresanu, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Andrei Mureşanu",132500.00 ,Dec.,63 mp
"Apartament 2 camere de vanzare in Andrei Muresanu, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Andrei Mureşanu",136500.00 ,Semidec.,52.5 mp
"Apartament 2 camere de vanzare in Andrei Muresanu, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Andrei Mureşanu",140000.00 ,Dec.,56 mp
"Apartament 2 camere de vanzare in Andrei Muresanu, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Calea Turzii",118000.00 ,Dec.,55 mp
"Apartament 2 camere de vanzare in Andrei Muresanu, Cluj Napoca... - Comision 0%
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Andrei Mureşanu",235000.00 ,Dec.,69 mp
"Apartament 2 camere de vanzare in ansamblul Luminia, parcare inclusa
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Europa",161000.00 ,Semidec.,53 mp
"Apartament 2 camere de vanzare in Borhanci
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci",160000.00 ,Dec.,64 mp
"Apartament 2 camere de vanzare in Borhanci, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci", € -   ,Semidec.,54 mp
"Apartament 2 camere de vanzare in Borhanci, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci",127500.00 ,Semidec.,55 mp
"Apartament 2 camere de vanzare in Borhanci, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci",129241.00 ,Semidec.,54 mp
"Apartament 2 camere de vanzare in Borhanci, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci",130000.00 ,Semidec.,63 mp
"Apartament 2 camere de vanzare in Borhanci, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci",139000.00 ,Dec.,53 mp
"Apartament 2 camere de vanzare in Borhanci, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci",149000.00 ,Semidec.,54 mp
"Apartament 2 camere de vanzare in Borhanci, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci",149900.00 ,Dec.,56 mp
"Apartament 2 camere de vanzare in Borhanci, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci",169000.00 ,Semidec.,56 mp
"Apartament 2 camere de vanzare in Borhanci, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci",99500.00 ,Semidec.,48 mp
"Apartament 2 camere de vanzare in Bulgaria, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Bulgaria",145000.00 ,Dec.,54 mp
"Apartament 2 camere de vanzare in Buna Ziua, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Bună Ziua",119900.00 ,Semidec.,42 mp
"Apartament 2 camere de vanzare in Buna Ziua, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Bună Ziua",119999.00 ,Semidec.,46 mp
"Apartament 2 camere de vanzare in Buna Ziua, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Bună Ziua",128000.00 ,Semidec.,41 mp
"Apartament 2 camere de vanzare in Buna Ziua, Cluj Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Bună Ziua",135000.00 ,Dec.,53 mp
