Rez.Descriere, Rez.Pret euro ,Rez.Stare,Rez.Suprafata
"0% Comision Apartament 3 camere 90mp, parcare, zona GrandHotel Italia
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Bună Ziua",250000.00 ,Semidec.,90 mp
"0% COMISION apartament 3 camere, Marasti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",139900.00 ,Dec.,54 mp
"0% COMISION apartament 3 camere, zona Fabricii
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Bulgaria",145000.00 ,Semidec.,70.61 mp
"0% COMISION apartament 3 camere, zona Lidl Calea Baciului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",104000.00 ,Semidec.,64.43 mp
"0% COMISION apartament 3 camere, zona Lidl Calea Baciului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",120000.00 ,Semidec.,56 mp
"0% COMISION apartament 3 camere, zona Lidl Calea Baciului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",120000.00 ,Semidec.,58.7 mp
"0% COMISION apartament 4 camere decomandate, zona Bucium
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",180000.00 ,Dec.,76.6 mp
"0% comision Apartament cu Parcare şi Grădină proprie situat în zona str Câmpului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",89600.00 ,Dec.,45 mp
"0% COMISION Garsoniera, zona Iris
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Iris",55000.00 ,Dec.,28.13 mp
"0% Comision! 4 camere decomandate, zona exceptionala, Centru
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Plopilor",209000.00 ,Dec.,84 mp
"0% COMISION! APARTAMENT 3 CAMERE | PROIECT ELIT CITY
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Iris",196000.00 ,Semidec.,74 mp
"0% Comision! Apartament cu 3 camere, proiect unic, Grigorescu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",235000.00 ,Semidec.,68 mp
"0% Comision! Vanzare apartament 2 camere, Intre Lacuri
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Între Lacuri",113830.00 ,Semidec.,53.91 mp
"0% comision!!!3 camere, preluare chiriasi, parcare,str Valea Garbaului
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Vest",113000.00 ,Semidec.,62.13 mp
"0% comision, 2 camere, ultracentral, 40mp, Andrei Saguna, parcare, boxa
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Ultracentral",120000.00 ,Semidec.,40 mp
"0% comision, 3 camere superfinisat, 2 bai, Dorobantilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",243000.00 ,Dec.,68 mp
"0% comision, apartament 2 camere 58mp, gradina 29mp bloc nou,  zona Garii, finis
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",127500.00 ,Semidec.,60 mp
"0% comision, apartament 3 camere, P-ta Abator, 57mp, aer conditionat
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Semicentral",133000.00 ,Semidec.,57 mp
"0% comision, apartament 40mp, gradina, bloc nou, zona Garii, finisat, proiect
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",96000.00 ,,
"0% comision, Apartament cu 2 camere, constructie noua, Strada Fabricii
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",106000.00 ,Semidec.,39 mp
"0% Etaj Unu | 3 Camere | Zona Gheorgheni | Str. Alverna | Ideal PT Investitii
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",97000.00 ,Semidec.,42 mp
"0%! Vand 2 Camere Decomandate, Finisat LUX, Strada Unirii, Gheorgheni!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",144000.00 ,Dec.,46 mp
"0%! Vand 2 Camere, Finisat LUX, Strada Bocskai Istvan, Borhanci!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci",125000.00 ,Semidec.,52.44 mp
"0%COMISION/ Apartament de vanzare/ pentru investitie/ 2 camere / ULTRACENTRAL
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central", € -   ,Semidec.,56 mp
"1 camera Marasti, zona sensului giratoriu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",75000.00 ,Semidec.,30 mp
"1 camera strada Calea Turzii, bloc nou, 41 mp, cu gradina
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",97000.00 ,Dec.,41 mp
"1 camera, 32 mp, modern, parter inalt, debara, Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",66900.00 ,Semidec.,32 mp
"1 camera, 40mp, terasa 11mp, parcare subterana, Centru, Teatru National
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",165000.00 ,Semidec.,39.59 mp
